Comment,Designator,Footprint,LCSC,PN
0.1uF,"C1, C2, C8",0402,C1525,CL05B104KO5NNNC
47uF 16V,C3,Capacitor_SMD:CP_Elec_5x5.4,C72515,RVT1C470M0505
0.1uF 16V,C4,0402,C1525,CL05B104KO5NNNC
100uF 25V,"C5, C9",Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C134705,SG-101M1EBK-0807
680uF 25V,"C6, C7",Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C697706,SPE1EM681F16OL
0.47uF,C10,0603,C1623,CL10B474KA8NNNC
LED,"D1, D5",0603,C72043,19-217/GHC-YR1S2/3T
SS34,D2,SMA,C8678,SS34
B5819W SL,D3,SOD-123,C8598,B5819W SL
SM4007PL,D4,SOD-123F,C64898,SM4007PL
B2B-XH-A(LF)(SN),"J1, J2, J8, J9, J10, J11, J12, J13",Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C20079,XH-2A
B3B-XH-A(LF)(SN),J3,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C2316,XH-3A
Barrel_Jack,J4,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal,,PJ-063AH
B4B-XH-A(LF)(SN),J5,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C37815,XH-4A
Conn_01x08_Female,"J6, J7",Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,C27438,C27438
15 uH,L1,Marlin:SSL0804_Inductor_SMD,C329870,SSL0804T-150M-N
Q_NPN_BEC,"Q1, Q2",SOT-23,C8512,MMBT2222A 1P
30K,"R1, R9, R10, R11, R15",0402,C423289,0402WGD3002TCE
4.7K,R2,0805,C17673,0805W8F4701T5E
220R,R3,0805,C17557,0805W8F2200T5E
1K,R4,0402,C11702,0402WGF1001TCE
17.2K,R5,0603,,TNPW060317K2BEEA
2.2K,"R6, R12",0805,C17520,0805W8F2201T5E
22K,R7,0805,C17560,0805W8F2202T5E
500R 1W 2512 ,R8,1512,C309610,RC2512FK-7W100RL
2K,"R13, R14",0402,C4109,0402WGF2001TCE
SN74LVC1T45DBV,U1,SOT-23-6,C7843,SN74LVC1T45DBV
LM2586SX-ADJ/NOPB_1,U2,TO-263-7_TabPin8,C181324,LM2586SX-ADJ/NOPB_1
DRV8871DDA,U3,Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,,DRV8871DDA
