Comment,Designator,Footprint,LCSC
0.1uF,"C1, C2, C8",402,C1525
47uF 16V,C3,Capacitor_SMD:CP_Elec_5x5.4,C72515
0.1uF 16V,C4,402,C1525
100uF 25V,"C5, C9",Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C134705
680uF 25V,"C6, C7",Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,C697706
0.47uF,C10,603,C1623
LED,"D1, D5",603,C72043
SS34,D2,SMA,C8678
B5819W SL,D3,SOD-123,C8598
SM4007PL,D4,SOD-123F,C64898
B2B-XH-A(LF)(SN),"J1, J2, J8, J9, J10, J11, J12, J13",Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C20079
B3B-XH-A(LF)(SN),J3,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C2316
B4B-XH-A(LF)(SN),J5,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C37815
Conn_01x08_Female,"J6, J7",Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical,C27438
15 uH,L1,Marlin:SSL0804_Inductor_SMD,C329870
Q_NPN_BEC,"Q1, Q2",SOT-23,C8512
30K,"R1, R9, R10, R11, R15",402,C423289
4.7K,R2,805,C17673
220R,R3,805,C17557
1K,R4,402,C11702
2.2K,"R6, R12",805,C17520
22K,R7,805,C17560
500R 1W 2512 ,R8,1512,C309610
2K,"R13, R14",402,C4109
SN74LVC1T45DBV,U1,SOT-23-6,C7843
LM2586SX-ADJ/NOPB_1,U2,TO-263-7_TabPin8,C181324
